,A,C,D,M,N,Ncyc,Sdot,T,n_init,nsteps,t_init,teq
0,28.294117647058826,5.0,0.000990278105033987,100.0,10.0,30.0,4938.179139990201,0.5667388108665541,10.0,100.0,15.0,5.0
1,28.294117647058826,5.0,0.0010130828733680606,100.0,10.0,30.0,4920.891945223012,0.569204994072723,10.0,100.0,15.0,5.0
2,28.294117647058826,5.0,0.001051762177039054,100.0,10.0,30.0,5001.6770525712145,0.5602387123161721,10.0,100.0,15.0,5.0
3,28.294117647058826,5.0,0.0006899408202484618,100.0,10.0,30.0,4951.213130766294,0.5652848056198445,10.0,100.0,15.0,5.0
4,28.294117647058826,5.0,0.0010704838879780376,100.0,10.0,30.0,4928.978498639456,0.5679972384992421,10.0,100.0,15.0,5.0
5,28.294117647058826,5.0,0.0005514263714973462,100.0,10.0,30.0,4984.692227467123,0.5617936228867477,10.0,100.0,15.0,5.0
6,28.294117647058826,5.0,0.0010894169950604968,100.0,10.0,30.0,5004.318317258205,0.5600237865518666,10.0,100.0,15.0,5.0
7,28.294117647058826,5.0,0.0006640316579442185,100.0,10.0,30.0,5013.548370381058,0.5579952142996197,10.0,100.0,15.0,5.0
8,28.294117647058826,5.0,0.000748620842816963,100.0,10.0,30.0,4975.360778930773,0.5627069141163493,10.0,100.0,15.0,5.0
9,28.294117647058826,5.0,0.0008701597149987501,100.0,10.0,30.0,4924.981560475885,0.5684730939635687,10.0,100.0,15.0,5.0
10,28.294117647058826,5.0,0.0005509987851661245,100.0,10.0,30.0,5009.076553725749,0.5587811183034562,10.0,100.0,15.0,5.0
11,28.294117647058826,5.0,0.0008099191641994157,100.0,10.0,30.0,4987.607037698954,0.5613398908228507,10.0,100.0,15.0,5.0
12,28.294117647058826,5.0,0.0010836012920454818,100.0,10.0,30.0,5000.966000761134,0.5599020735346839,10.0,100.0,15.0,5.0
13,28.294117647058826,5.0,0.0010107027497589204,100.0,10.0,30.0,4986.531562942061,0.561354614554021,10.0,100.0,15.0,5.0
14,28.294117647058826,5.0,0.0006388452088426725,100.0,10.0,30.0,4993.505428209656,0.5604410878084306,10.0,100.0,15.0,5.0
15,28.294117647058826,5.0,0.0008211204010477103,100.0,10.0,30.0,4997.888008716295,0.5599932383296272,10.0,100.0,15.0,5.0
16,28.294117647058826,5.0,0.0008796471491202702,100.0,10.0,30.0,5006.3701128448265,0.5594118027207168,10.0,100.0,15.0,5.0
17,28.294117647058826,5.0,0.0004978380100240899,100.0,10.0,30.0,4971.618717116435,0.5629888560434745,10.0,100.0,15.0,5.0
18,28.294117647058826,5.0,0.0008081304966268788,100.0,10.0,30.0,5059.725997296083,0.5524506099277697,10.0,100.0,15.0,5.0
19,28.294117647058826,5.0,0.000593723912488435,100.0,10.0,30.0,4945.794788559781,0.5651941124234431,10.0,100.0,15.0,5.0
20,28.294117647058826,5.0,0.001008554769343699,100.0,10.0,30.0,4968.936482094528,0.5633167157584731,10.0,100.0,15.0,5.0
21,28.294117647058826,5.0,0.0007960501796198991,100.0,10.0,30.0,5012.563304194023,0.5585046629387924,10.0,100.0,15.0,5.0
22,28.294117647058826,5.0,0.001137031408587504,100.0,10.0,30.0,4976.4121945084535,0.5628910304626895,10.0,100.0,15.0,5.0
23,28.294117647058826,5.0,0.0007180835027659449,100.0,10.0,30.0,4983.386386600715,0.5612201006208831,10.0,100.0,15.0,5.0
24,28.294117647058826,5.0,0.0008265185865680623,100.0,10.0,30.0,5000.277497599815,0.5606557125886721,10.0,100.0,15.0,5.0
25,28.294117647058826,5.0,0.0006278766595647558,100.0,10.0,30.0,4966.221983602548,0.5633778004931708,10.0,100.0,15.0,5.0
26,28.294117647058826,5.0,0.001330920618204524,100.0,10.0,30.0,5047.640420804329,0.5550636912449306,10.0,100.0,15.0,5.0
27,28.294117647058826,5.0,0.0010264950414963336,100.0,10.0,30.0,4974.55663822655,0.5630314451706405,10.0,100.0,15.0,5.0
28,28.294117647058826,5.0,0.0009332065065472086,100.0,10.0,30.0,5008.972388642524,0.5588169261151809,10.0,100.0,15.0,5.0
29,28.294117647058826,5.0,0.0006437262899326933,100.0,10.0,30.0,4871.119650894328,0.57416988194364,10.0,100.0,15.0,5.0
30,28.294117647058826,5.0,0.0006622497657706268,100.0,10.0,30.0,4957.254035763962,0.5641394590237813,10.0,100.0,15.0,5.0
31,28.294117647058826,5.0,0.00072368164769544,100.0,10.0,30.0,4976.629382508811,0.5623047547508276,10.0,100.0,15.0,5.0
32,28.294117647058826,5.0,0.000804063936320851,100.0,10.0,30.0,4976.409487156788,0.5630165478518471,10.0,100.0,15.0,5.0
33,28.294117647058826,5.0,0.0008097524024954107,100.0,10.0,30.0,5014.402680839585,0.5585932523505984,10.0,100.0,15.0,5.0
34,28.294117647058826,5.0,0.0005523848412182425,100.0,10.0,30.0,5031.763964730839,0.5560036667408783,10.0,100.0,15.0,5.0
35,28.294117647058826,5.0,0.001431103575768502,100.0,10.0,30.0,4946.443220967627,0.5668653573195326,10.0,100.0,15.0,5.0
36,28.294117647058826,5.0,0.0005227668596036535,100.0,10.0,30.0,4917.1892244596,0.5686823286094733,10.0,100.0,15.0,5.0
37,28.294117647058826,5.0,0.0008403322731990672,100.0,10.0,30.0,4919.268690883191,0.5691842473531901,10.0,100.0,15.0,5.0
38,28.294117647058826,5.0,0.0006771013386547807,100.0,10.0,30.0,4956.681055532239,0.5639977703168584,10.0,100.0,15.0,5.0
39,28.294117647058826,5.0,0.00023778286594061971,100.0,10.0,30.0,5009.992941370057,0.5594305849306461,10.0,100.0,15.0,5.0
40,28.294117647058826,5.0,0.0005709861325943032,100.0,10.0,30.0,5031.763964730839,0.5559059775493865,10.0,100.0,15.0,5.0
41,28.294117647058826,5.0,0.000963169368836792,100.0,10.0,30.0,4995.340354221173,0.5606248271757177,10.0,100.0,15.0,5.0
42,28.294117647058826,5.0,0.0005625281046811512,100.0,10.0,30.0,4947.5432715356765,0.5668021644195916,10.0,100.0,15.0,5.0
43,28.294117647058826,5.0,0.0006428682145200273,100.0,10.0,30.0,4969.478486530762,0.563411160155381,10.0,100.0,15.0,5.0
